epoch,train_loss,validation_loss,train_accuracy,validation_accuracy
1,1.8822575276661286,1.6264560729704325,0.371499176276771,0.44458680333119793
2,1.5655381449757533,1.443535595044045,0.46540362438220756,0.529788597053171
3,1.4511784855838925,1.3181962273504244,0.5042559033498077,0.5778347213324792
4,1.3940775653675714,1.2746813097189513,0.5144151565074135,0.5880845611787315
5,1.3478909103114942,1.2371529062003528,0.5332235035694673,0.6105060858424087
6,1.324806837672915,1.1786633315260482,0.5472267984623833,0.618193465727098
7,1.3043050286142726,1.1418264758350145,0.5473640856672158,0.6386931454196029
8,1.2706230537109753,1.1618886938620498,0.5602690829214717,0.6130685458039719
9,1.2599422035473902,1.1120347559719341,0.5610928061504667,0.6271620755925689
10,1.272953301324483,1.1229533957488105,0.5623283909939594,0.6233183856502242
